Configuration,din,dout,drv_sel,in_en,out_hs_en,out_ls_en,pd_en,pu_en,sel_r,sel_vdd,exp. drive,meas. drive,D_chk,E_chk,Summary
VDD1_DRV_out_0,1'h1,1'h0,2'h0,1'h0,1'h1,1'h1,1'h0,1'h0,2'h3,2'h1,1,0.866109,1,1,PASS
VDD1_DRV_out_1,1'h1,1'h0,2'h1,1'h0,1'h1,1'h1,1'h0,1'h0,2'h3,2'h1,2,1.73215,1,1,PASS
VDD1_DRV_out_2,1'h1,1'h0,2'h2,1'h0,1'h1,1'h1,1'h0,1'h0,2'h3,2'h1,4,3.46401,1,1,PASS
VDD1_DRV_out_3,1'h1,1'h0,2'h3,1'h0,1'h1,1'h1,1'h0,1'h0,2'h3,2'h1,8,6.9269,1,1,PASS
